Ticker,Model,MAE,MAPE_%
AAPL,MLP,2.230451227575227,0.9710352794325937
AAPL,LSTM,2.2260845800781217,0.96723034239788
AAPL,FinBERT-LSTM,4.095579926938651,1.7727389373278686
AMZN,MLP,1.9918076873553248,1.0654824313249884
AMZN,LSTM,2.4975379202835692,1.3394910096054222
AMZN,FinBERT-LSTM,2.846495772931137,1.518411005448874
GOOGL,MLP,2.310868529007521,1.401552287303652
GOOGL,LSTM,1.620175727719905,0.9910920586660592
GOOGL,FinBERT-LSTM,1.4633864771412055,0.8962519653668874
META,MLP,46.18261825593172,7.994662390838041
META,LSTM,20.599387515190976,3.5577157401078114
META,FinBERT-LSTM,24.18002381148726,4.181878923869618
MSFT,MLP,2.8639166474970983,0.6779191333138931
MSFT,LSTM,2.577481625795715,0.6109153978018991
MSFT,FinBERT-LSTM,3.108550071252898,0.7360220498813459
NVDA,MLP,5.4921305216471366,4.141792137940554
NVDA,LSTM,6.951738788574222,5.202335024022572
NVDA,FinBERT-LSTM,3.924214892523874,2.977359749135636
TSLA,MLP,7.072186016348381,2.858162300550301
TSLA,LSTM,8.703427497829857,3.5022831751307555
TSLA,FinBERT-LSTM,8.202971210214123,3.4131799990030762
