config,target,ticker,mae_mean,mae_std,dir_acc_mean,dir_acc_std,n_seeds,features
C,gap,AAPL,0.007818,0.000255,46.94,3.41,5,close_return + sentiment
C,gap,AMZN,0.006350,0.000171,53.06,2.24,5,close_return + sentiment
C,gap,GOOGL,0.007761,0.000222,35.51,2.45,5,close_return + sentiment
C,gap,META,0.010222,0.001908,66.94,0.82,5,close_return + sentiment
C,gap,MSFT,0.006158,0.000444,65.31,1.83,5,close_return + sentiment
C,gap,NVDA,0.011832,0.000148,58.78,3.00,5,close_return + sentiment
C,gap,TSLA,0.016240,0.000552,42.04,5.57,5,close_return + sentiment
F,gap,AAPL,0.007586,0.000189,46.94,2.58,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,gap,AMZN,0.006956,0.000282,45.71,2.08,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,gap,GOOGL,0.008970,0.000756,35.10,4.36,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,gap,META,0.007119,0.000708,61.63,3.96,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,gap,MSFT,0.005581,0.000693,60.41,3.32,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,gap,NVDA,0.011749,0.000365,55.10,7.53,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,gap,TSLA,0.016341,0.000526,40.00,1.00,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
C,cc,AAPL,0.009461,0.000159,50.61,2.71,5,close_return + sentiment
C,cc,AMZN,0.012136,0.000113,54.69,3.27,5,close_return + sentiment
C,cc,GOOGL,0.010537,0.000258,46.94,4.08,5,close_return + sentiment
C,cc,META,0.011834,0.001640,53.88,1.63,5,close_return + sentiment
C,cc,MSFT,0.008179,0.000137,51.84,2.77,5,close_return + sentiment
C,cc,NVDA,0.026305,0.001649,56.73,1.53,5,close_return + sentiment
C,cc,TSLA,0.031859,0.002381,49.80,2.77,5,close_return + sentiment
F,cc,AAPL,0.009777,0.000123,48.57,3.27,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,cc,AMZN,0.012939,0.000374,44.08,2.45,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,cc,GOOGL,0.010936,0.000857,45.31,4.72,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,cc,META,0.012748,0.000602,49.80,4.00,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,cc,MSFT,0.008109,0.000295,52.65,3.00,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,cc,NVDA,0.024139,0.000709,57.55,2.38,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
F,cc,TSLA,0.028711,0.000747,49.39,3.51,5,close_return + volume + news_count + sentiment + count_positive + count_negative + count_neutral + label_positive_sum + label_negative_sum + label_neutral_sum
